Write successWrite successLeft Mouse Down; Time: 147678.887; Location(873.9, 369.6), Pressure: 1.000
Mouse Moved; Time: 148313.360; Location(96.2, 135.4), Pressure: 0.000
Mouse Moved; Time: 148313.368; Location(94.0, 135.0), Pressure: 0.000
Mouse Moved; Time: 148313.376; Location(90.5, 134.5), Pressure: 0.000
Mouse Moved; Time: 148313.384; Location(87.7, 134.0), Pressure: 0.000
Mouse Moved; Time: 148313.393; Location(84.9, 133.6), Pressure: 0.000
Mouse Moved; Time: 148313.401; Location(81.4, 133.0), Pressure: 0.000
Mouse Moved; Time: 148313.409; Location(77.8, 132.5), Pressure: 0.000
Mouse Moved; Time: 148313.417; Location(73.4, 131.4), Pressure: 0.000
Mouse Moved; Time: 148313.426; Location(69.2, 130.9), Pressure: 0.000
Mouse Moved; Time: 148313.434; Location(64.9, 129.8), Pressure: 0.000
Mouse Moved; Time: 148313.442; Location(59.6, 129.2), Pressure: 0.000
Mouse Moved; Time: 148313.450; Location(55.2, 128.2), Pressure: 0.000
Mouse Moved; Time: 148313.459; Location(50.1, 127.0), Pressure: 0.000
Mouse Moved; Time: 148313.467; Location(48.0, 126.6), Pressure: 0.000
Mouse Moved; Time: 148313.475; Location(40.6, 125.3), Pressure: 0.000
Mouse Moved; Time: 148313.483; Location(38.5, 124.8), Pressure: 0.000
Mouse Moved; Time: 148313.491; Location(34.1, 124.3), Pressure: 0.000
Mouse Moved; Time: 148313.500; Location(30.6, 123.8), Pressure: 0.000
Mouse Moved; Time: 148313.508; Location(27.8, 123.8), Pressure: 0.000
Mouse Moved; Time: 148313.516; Location(25.0, 123.8), Pressure: 0.000
Mouse Moved; Time: 148313.524; Location(22.2, 123.8), Pressure: 0.000
Mouse Moved; Time: 148313.533; Location(20.7, 123.8), Pressure: 0.000
Mouse Moved; Time: 148313.541; Location(19.6, 123.8), Pressure: 0.000
Mouse Moved; Time: 148313.549; Location(18.6, 123.8), Pressure: 0.000
Mouse Moved; Time: 148313.557; Location(17.5, 123.8), Pressure: 0.000
Mouse Moved; Time: 148313.566; Location(17.3, 123.8), Pressure: 0.000
