Time: 310337.348; State:  4; ID:  3; absPos(36.180, 32.360); absVel(-59.875, -65.750); Ellipse( 8.86x 8.03); size(0.477)
Time: 310337.356; State:  4; ID:  3; absPos(35.700, 31.920); absVel(-73.500, -71.000); Ellipse( 8.84x 8.01); size(0.484)
Time: 310337.364; State:  4; ID:  3; absPos(35.150, 31.440); absVel(-85.750, -77.375); Ellipse( 8.81x 8.21); size(0.508)
Time: 310337.372; State:  4; ID:  3; absPos(34.330, 30.770); absVel(-103.125, -83.375); Ellipse( 8.88x 8.37); size(0.527)
Time: 310337.380; State:  4; ID:  3; absPos(33.030, 29.830); absVel(-132.250, -91.250); Ellipse( 8.95x 8.46); size(0.543)
Time: 310337.388; State:  4; ID:  3; absPos(31.860, 29.100); absVel(-146.875, -91.375); Ellipse( 8.96x 8.41); size(0.559)
Time: 310337.396; State:  4; ID:  3; absPos(30.610, 28.360); absVel(-155.750, -91.625); Ellipse( 8.99x 8.45); size(0.582)
Time: 310337.404; State:  4; ID:  3; absPos(29.290, 27.680); absVel(-165.750, -85.375); Ellipse( 9.08x 8.41); size(0.605)
Time: 310337.412; State:  4; ID:  3; absPos(28.350, 27.290); absVel(-169.125, -78.750); Ellipse( 8.97x 8.34); size(0.613)
Time: 310337.420; State:  4; ID:  3; absPos(26.990, 26.730); absVel(-169.500, -69.375); Ellipse( 8.85x 8.39); size(0.637)
Time: 310337.428; State:  4; ID:  2; absPos(25.640, 26.290); absVel(-168.875, -56.000); Ellipse( 8.91x 8.37); size(0.652)
Time: 310337.436; State:  4; ID:  2; absPos(24.300, 25.990); absVel(-167.625, -37.250); Ellipse( 9.07x 8.41); size(0.672)
Time: 310337.444; State:  4; ID:  2; absPos(23.030, 25.850); absVel(-158.000, -16.875); Ellipse( 9.10x 8.54); size(0.684)
Time: 310337.452; State:  4; ID:  2; absPos(21.850, 25.870); absVel(-147.875,  1.875); Ellipse( 9.06x 8.54); size(0.691)
Time: 310337.460; State:  4; ID:  2; absPos(20.780, 26.050); absVel(-133.125, 23.125); Ellipse( 9.18x 8.59); size(0.699)
Time: 310337.468; State:  4; ID:  2; absPos(19.840, 26.430); absVel(-117.500, 46.750); Ellipse( 9.25x 8.58); size(0.707)
Time: 310337.476; State:  4; ID:  2; absPos(19.040, 27.000); absVel(-100.750, 71.875); Ellipse( 9.25x 8.81); size(0.707)
Time: 310337.484; State:  4; ID:  2; absPos(18.390, 27.810); absVel(-81.125, 101.375); Ellipse( 9.26x 8.83); size(0.691)
Time: 310337.492; State:  4; ID:  2; absPos(17.710, 29.110); absVel(-51.375, 135.750); Ellipse( 9.33x 8.83); size(0.695)
Time: 310337.500; State:  4; ID:  2; absPos(17.480, 30.350); absVel(-28.375, 155.000); Ellipse( 9.26x 8.69); size(0.688)
Time: 310337.508; State:  4; ID:  2; absPos(17.530, 31.290); absVel(-12.500, 160.500); Ellipse( 9.29x 8.80); size(0.684)
Time: 310337.516; State:  4; ID:  2; absPos(17.580, 32.620); absVel( 6.000, 166.000); Ellipse( 9.22x 8.89); size(0.680)
Time: 310337.524; State:  4; ID:  2; absPos(17.770, 33.920); absVel(23.875, 163.125); Ellipse( 9.32x 8.94); size(0.688)
Time: 310337.532; State:  4; ID:  2; absPos(18.110, 35.120); absVel(42.250, 149.125); Ellipse( 9.37x 8.88); size(0.680)
Time: 310337.540; State:  4; ID:  2; absPos(18.460, 35.760); absVel(50.125, 135.750); Ellipse( 9.49x 8.80); size(0.684)
Time: 310337.548; State:  4; ID:  2; absPos(18.970, 36.690); absVel(63.625, 116.125); Ellipse( 9.57x 8.78); size(0.684)
Time: 310337.556; State:  4; ID:  2; absPos(19.560, 37.440); absVel(73.375, 93.875); Ellipse( 9.43x 8.74); size(0.684)
Time: 310337.564; State:  4; ID:  2; absPos(20.200, 38.000); absVel(79.375, 69.875); Ellipse( 9.29x 8.72); size(0.688)
Time: 310337.572; State:  4; ID:  2; absPos(20.840, 38.370); absVel(81.000, 45.125); Ellipse( 9.30x 8.75); size(0.695)
